Heat Treatment Time (h),Corrosion Rate (mm/year)
0,-0.629389476063723,Zinc oxide/triglycidyl para-aminophenol
5,0.6595476563485845,Zinc oxide/triglycidyl para-aminophenol
6,-0.9064595303993208,Zinc oxide/triglycidyl para-aminophenol
13,-3.648299333166001,Zinc oxide/triglycidyl para-aminophenol
17,9.884059315639137,Zinc oxide/triglycidyl para-aminophenol
0,3.9424372267428804,cellulose nanocrystal/triglycidyl para-aminophenol
5,5.221909972201903,cellulose nanocrystal/triglycidyl para-aminophenol
6,7.063411219271213,cellulose nanocrystal/triglycidyl para-aminophenol
13,60.27404999666233,cellulose nanocrystal/triglycidyl para-aminophenol
17,129.26168599718446,cellulose nanocrystal/triglycidyl para-aminophenol
