Calcination Time (h),Hysteresis Loss (J/m³)
1,2.310117849081226,0.49% SWNT/P(BA-a)
2,1.957741763993714,0.49% SWNT/P(BA-a)
4,1.6861932377289983,0.49% SWNT/P(BA-a)
6,1.5373321875233257,0.49% SWNT/P(BA-a)
12,1.3936506177039396,0.49% SWNT/P(BA-a)
13,1.3869841904726428,0.49% SWNT/P(BA-a)
19,1.369438158677914,0.49% SWNT/P(BA-a)
0.2673531075440505,0.8184368474036687,0.18% SWNT/P(BA-a)
2.68985669479322,0.46779060064401623,0.18% SWNT/P(BA-a)
3.3818284755719596,0.5563281174093276,0.18% SWNT/P(BA-a)
6.940967274678751,0.3049129291475753,0.18% SWNT/P(BA-a)
7.9241953521354525,0.23453320453760235,0.18% SWNT/P(BA-a)
9.801213183406949,0.150346572277055,0.18% SWNT/P(BA-a)
11.854547050314128,0.053715152024668644,0.18% SWNT/P(BA-a)
0,5.925149464306592,0.17% SWNT/P(BA-a)
1,5.434000833734181,0.17% SWNT/P(BA-a)
3,4.898784240577419,0.17% SWNT/P(BA-a)
9,4.666288188092352,0.17% SWNT/P(BA-a)
12,4.6305563456905405,0.17% SWNT/P(BA-a)
14,4.617714348860328,0.17% SWNT/P(BA-a)
16,4.610257163500666,0.17% SWNT/P(BA-a)
0.04297236713469266,-5.515896850354523,0.12% SWNT/P(BA-a)
7.466618654119211,-4.405318100540866,0.12% SWNT/P(BA-a)
8.692438545035726,-6.15804199562678,0.12% SWNT/P(BA-a)
12.49273416482575,-2.8342268448734425,0.12% SWNT/P(BA-a)
12.74607893986718,-3.982004129293514,0.12% SWNT/P(BA-a)
18.069292070084202,8.955245322464664,0.12% SWNT/P(BA-a)
19.349101114921623,6.132416571887477,0.12% SWNT/P(BA-a)
2.30332227655468,-1.5897664563884217,0.78% SWNT/P(BA-a)
2.8505386472267835,-1.6422730972546975,0.78% SWNT/P(BA-a)
9.802189115524346,-1.9415373546017194,0.78% SWNT/P(BA-a)
12.21302109972752,-1.9711384423027514,0.78% SWNT/P(BA-a)
12.31994569410622,-1.9707363230720796,0.78% SWNT/P(BA-a)
12.561128033230947,-1.9703550405035213,0.78% SWNT/P(BA-a)
12.56945522829673,-1.9755797816007048,0.78% SWNT/P(BA-a)
