Temperature (°C),Degradation Temperature (°C)
1,-0.963493129619358,0.17% CCTO/Poly(2-vinyl pyridine)
4,-1.0292309986225012,0.17% CCTO/Poly(2-vinyl pyridine)
11,-1.3985956640896702,0.17% CCTO/Poly(2-vinyl pyridine)
12,-1.4076088434914324,0.17% CCTO/Poly(2-vinyl pyridine)
16,-1.4957708190595507,0.17% CCTO/Poly(2-vinyl pyridine)
19,-1.5387638399292147,0.17% CCTO/Poly(2-vinyl pyridine)
1,0.41742889758259527,0.38% CCTO/Poly(2-vinyl pyridine)
4,2.473498872613038,0.38% CCTO/Poly(2-vinyl pyridine)
11,58.381526907000236,0.38% CCTO/Poly(2-vinyl pyridine)
12,61.171668590831175,0.38% CCTO/Poly(2-vinyl pyridine)
16,155.00715607550734,0.38% CCTO/Poly(2-vinyl pyridine)
19,198.2421688206767,0.38% CCTO/Poly(2-vinyl pyridine)
1,-1.0727341012514227,0.78% CCTO/Poly(2-vinyl pyridine)
4,-1.0346086171420814,0.78% CCTO/Poly(2-vinyl pyridine)
11,-1.5301951626907753,0.78% CCTO/Poly(2-vinyl pyridine)
12,-1.5579427259004606,0.78% CCTO/Poly(2-vinyl pyridine)
16,-1.65142624800797,0.78% CCTO/Poly(2-vinyl pyridine)
19,-1.7070997075744716,0.78% CCTO/Poly(2-vinyl pyridine)
1,-0.2878768161118941,0.15% CCTO/Poly(2-vinyl pyridine)
4,1.0054909234838827,0.15% CCTO/Poly(2-vinyl pyridine)
11,31.4446881496755,0.15% CCTO/Poly(2-vinyl pyridine)
12,38.150194320533,0.15% CCTO/Poly(2-vinyl pyridine)
16,236.4187978638314,0.15% CCTO/Poly(2-vinyl pyridine)
19,564.3134621718606,0.15% CCTO/Poly(2-vinyl pyridine)
