wt% (%),Pore Size (nm)
0.36061879045267364,1.8440361634927989,Poly(bisphenol A carbonate)
3.9556745598709098,1.714992435727443,Poly(bisphenol A carbonate)
4.569988279617345,1.5215841210050207,Poly(bisphenol A carbonate)
4.814231952741361,1.5393457785440772,Poly(bisphenol A carbonate)
5.568003836269842,1.5148826373457052,Poly(bisphenol A carbonate)
11.82948233387094,1.2198099511442215,Poly(bisphenol A carbonate)
0.36061879045267364,3.0368829817869654,P(VDF-HFP)
3.9556745598709098,3.0636756318107965,P(VDF-HFP)
4.569988279617345,3.3247222898028115,P(VDF-HFP)
4.814231952741361,3.5129654392719702,P(VDF-HFP)
5.568003836269842,3.158239627779235,P(VDF-HFP)
11.82948233387094,3.5695101965581055,P(VDF-HFP)
0.36061879045267364,-3.6675489088883135,Nylon 6-6
3.9556745598709098,-3.882310519334887,Nylon 6-6
4.569988279617345,-4.549023269600047,Nylon 6-6
4.814231952741361,-3.2115035230393074,Nylon 6-6
5.568003836269842,-3.580639587765138,Nylon 6-6
11.82948233387094,-1.6152463602786669,Nylon 6-6
0.36061879045267364,-3.106673097104573,Poly(methyl methacrylate)
3.9556745598709098,-2.6532044322388177,Poly(methyl methacrylate)
4.569988279617345,-3.2964172673064187,Poly(methyl methacrylate)
4.814231952741361,-3.2976680083158945,Poly(methyl methacrylate)
5.568003836269842,-2.347604895438026,Poly(methyl methacrylate)
11.82948233387094,2.415131927511494,Poly(methyl methacrylate)
