Polymer Molecular Weight (g/mol),Intrinsic Viscosity (dl/g)
7.325789537744665,5.047116455102453,0.71% Barium strontium titanate
16.05004475246612,4.940410476438006,0.71% Barium strontium titanate
17.207154799627197,4.938650508953756,0.71% Barium strontium titanate
17.315141826088524,4.938256024335813,0.71% Barium strontium titanate
7.325789537744665,-6.020283229932389,0.73% Barium strontium titanate
16.05004475246612,-6.113256446601982,0.73% Barium strontium titanate
17.207154799627197,-6.1150229698579155,0.73% Barium strontium titanate
17.315141826088524,-6.115323423026049,0.73% Barium strontium titanate
7.325789537744665,-3.6050057374611173,0.06% Barium strontium titanate
16.05004475246612,-3.698765584209898,0.06% Barium strontium titanate
17.207154799627197,-3.7012589037332555,0.06% Barium strontium titanate
17.315141826088524,-3.7015466860496646,0.06% Barium strontium titanate
7.325789537744665,8.304955416464882,0.27% Barium strontium titanate
16.05004475246612,12.357528605973489,0.27% Barium strontium titanate
17.207154799627197,17.81056898810712,0.27% Barium strontium titanate
17.315141826088524,18.277410756754062,0.27% Barium strontium titanate
