Surfactant Concentration (M),Shear Viscosity (Pa·s)
1,6.092248039063043,0.44% 9-anthracenemethanol/iPP
4,5.510138926418085,0.44% 9-anthracenemethanol/iPP
5,5.419727993812919,0.44% 9-anthracenemethanol/iPP
7,5.368532221478225,0.44% 9-anthracenemethanol/iPP
8,5.304310238151344,0.44% 9-anthracenemethanol/iPP
13,5.230526905679654,0.44% 9-anthracenemethanol/iPP
3.7518596452396924,-5.980192965362195,0.04% 9-anthracenemethanol/iPP
7.93715301186716,-6.295127346059429,0.04% 9-anthracenemethanol/iPP
11.398780525468851,-6.3718886533737455,0.04% 9-anthracenemethanol/iPP
18.256942819038226,-6.557151444371826,0.04% 9-anthracenemethanol/iPP
18.62685771859051,-6.557151485984587,0.04% 9-anthracenemethanol/iPP
19.54929192086968,-6.581699788065004,0.04% 9-anthracenemethanol/iPP
