Electron Beam Dose (Gy),Shear Modulus (GPa)
1.7168714954332476,-5.946083909057757,Carbon black/Polybutylene succinate
2.0524384756127567,-5.951218918678758,Carbon black/Polybutylene succinate
10.706332735438092,-6.355816204142719,Carbon black/Polybutylene succinate
15.466324918857042,-6.511781619442438,Carbon black/Polybutylene succinate
1.7168714954332476,7.130169704237907,Aluminium oxide/Polybutylene succinate
2.0524384756127567,7.421666109159639,Aluminium oxide/Polybutylene succinate
10.706332735438092,6.949231842066844,Aluminium oxide/Polybutylene succinate
15.466324918857042,11.171418595638805,Aluminium oxide/Polybutylene succinate
1.7168714954332476,4.17411417892912,Montmorillonite/Polybutylene succinate
2.0524384756127567,3.912128245485965,Montmorillonite/Polybutylene succinate
10.706332735438092,27.51407524309969,Montmorillonite/Polybutylene succinate
15.466324918857042,82.08903396469917,Montmorillonite/Polybutylene succinate
1.7168714954332476,3.4322233712136794,barium titanate/Polybutylene succinate
2.0524384756127567,3.734543304637801,barium titanate/Polybutylene succinate
10.706332735438092,2.9958184684693907,barium titanate/Polybutylene succinate
15.466324918857042,2.9643000804630932,barium titanate/Polybutylene succinate
1.7168714954332476,-3.9846338592877997,Montmorillonite/Polybutylene succinate
2.0524384756127567,-4.22749398086757,Montmorillonite/Polybutylene succinate
10.706332735438092,-4.546566142917925,Montmorillonite/Polybutylene succinate
15.466324918857042,-4.863958701751688,Montmorillonite/Polybutylene succinate
