Tensile Strength (MPa),Specific Viscosity
0,7.991602473726398,PnBA
1,7.856109700372225,PnBA
7,7.338484651210594,PnBA
12,7.203989004901842,PnBA
15,7.1142496261804355,PnBA
17,7.06387809270284,PnBA
0,0.08082998049398671,PVOH
1,-0.0902202598220262,PVOH
7,-0.8869955276284123,PVOH
12,-0.9656095542918542,PVOH
15,-0.9793414813260253,PVOH
17,-0.9843728655658807,PVOH
0,4.188870279769359,BPA-Ph
1,4.700840691196174,BPA-Ph
7,8.306539491821557,BPA-Ph
12,21.800075365176596,BPA-Ph
15,141.64853786051657,BPA-Ph
17,72.56338547406419,BPA-Ph
0,7.616214782742452,BPA-Ph
1,7.755440414656544,BPA-Ph
7,9.280014341466863,BPA-Ph
12,10.017873516341218,BPA-Ph
15,14.013728996679848,BPA-Ph
17,16.439951765659174,BPA-Ph
