Drying Time (h),Thermal Conductivity (W/(m·K))
2,6.325034768534127,0.15% BaTiO3
5,5.8886411865428006,0.15% BaTiO3
6,7.6283869200488885,0.15% BaTiO3
7,7.2628624733713565,0.15% BaTiO3
12,7.0458694871904335,0.15% BaTiO3
18,9.693153897826065,0.15% BaTiO3
2,-0.5989060302340605,0.75% BaTiO3
5,-0.8701807659602339,0.75% BaTiO3
6,-1.0397360480527902,0.75% BaTiO3
7,0.3027230909023211,0.75% BaTiO3
12,0.7749901321506503,0.75% BaTiO3
18,6.321377223764729,0.75% BaTiO3
2,2.0722922087365374,0.43% BaTiO3
5,1.7711517593973087,0.43% BaTiO3
6,1.7588546761264312,0.43% BaTiO3
7,1.7216973604830323,0.43% BaTiO3
12,1.6145818342415181,0.43% BaTiO3
18,1.5895879731994842,0.43% BaTiO3
