Evaporation Temperature (°C),Porosity (%)
0,-3.0524585253749983,nanosilica/Polybutylene succinate
2,-3.0211609445298997,nanosilica/Polybutylene succinate
6,1.4489540336432256,nanosilica/Polybutylene succinate
13,48.548021292166126,nanosilica/Polybutylene succinate
14,52.1117176086956,nanosilica/Polybutylene succinate
18,81.76387539091814,nanosilica/Polybutylene succinate
0,4.300409377608924,magnesium oxide/Polybutylene succinate
2,5.580563361223598,magnesium oxide/Polybutylene succinate
6,7.643678442599503,magnesium oxide/Polybutylene succinate
13,81.48137345268671,magnesium oxide/Polybutylene succinate
14,55.238051187160075,magnesium oxide/Polybutylene succinate
18,-22.621895969698407,magnesium oxide/Polybutylene succinate
0,-2.9474630041178176,9-Anthracenemethanol/Polybutylene succinate
2,-2.7838505349892566,9-Anthracenemethanol/Polybutylene succinate
6,-2.919711923060422,9-Anthracenemethanol/Polybutylene succinate
13,-3.3009677855398376,9-Anthracenemethanol/Polybutylene succinate
14,-3.324058622910874,9-Anthracenemethanol/Polybutylene succinate
18,-3.4138698137512744,9-Anthracenemethanol/Polybutylene succinate
0,6.212459121548869,Fe3O4/Polybutylene succinate
2,7.090890379585622,Fe3O4/Polybutylene succinate
6,11.236181389285374,Fe3O4/Polybutylene succinate
13,23.86330048034526,Fe3O4/Polybutylene succinate
14,59.59314420855791,Fe3O4/Polybutylene succinate
18,378.3890612301681,Fe3O4/Polybutylene succinate
