Reaction Time (h),Magnetic Anisotropy (J/m³)
7.291665228914352,1.3949302347682324,0.62% C60
11.648639254017684,1.3172769597316378,0.62% C60
13.72754367122795,1.300506413025691,0.62% C60
7.291665228914352,4.784515409327241,0.57% C60
11.648639254017684,4.730593477107475,0.57% C60
13.72754367122795,4.715682691781234,0.57% C60
7.291665228914352,9.556634994641428,0.84% C60
11.648639254017684,75.01159795990668,0.84% C60
13.72754367122795,79.50059160764542,0.84% C60
7.291665228914352,9.492852227783278,0.96% C60
11.648639254017684,15.75838521048193,0.96% C60
13.72754367122795,31.692122210036924,0.96% C60
7.291665228914352,3.951392276065432,0.3% C60
11.648639254017684,3.8498632309340666,0.3% C60
13.72754367122795,3.835578243935137,0.3% C60
