Crystallinity (%),Saturation Magnetization (A/m)
2.326990672872691,7.26640344277995,Polyaniline/PA63T
7.482179519921342,15.437423057555366,Polyaniline/PA63T
17.558347267929065,-107.87130673723269,Polyaniline/PA63T
10,-0.07988577041501152,White spirits/PA63T
12,-0.10012194292628751,White spirits/PA63T
13,-0.10775543450149588,White spirits/PA63T
1,-1.1824374432440599,Na2TiO3/PA63T
4,-1.7333170545217869,Na2TiO3/PA63T
17,-2.036219520982285,Na2TiO3/PA63T
4.507486055076296,-3.831076016896824,Silver hexafluoroantimonate/PA63T
6.976172515529662,-2.1120282372733215,Silver hexafluoroantimonate/PA63T
12.864317001190642,0.6681000890285516,Silver hexafluoroantimonate/PA63T
8.286825303057759,4.9260445904430386,exfoliated graphite/PA63T
15.017997780306542,4.864166908818316,exfoliated graphite/PA63T
15.252369141956002,4.863300701307825,exfoliated graphite/PA63T
