Calcination Time (h),Porosity (%)
1.6806034757639488,-0.016017658559112302,0.92% SiC powder/triglycidyl para-aminophenol
4.13945082710776,1.0929359703852608,0.92% SiC powder/triglycidyl para-aminophenol
4.800764989365989,0.3629474519035891,0.92% SiC powder/triglycidyl para-aminophenol
18.588682041856416,9.747890588245923,0.92% SiC powder/triglycidyl para-aminophenol
1.6806034757639488,-3.5698142049888864,0.32% SiC powder/triglycidyl para-aminophenol
4.13945082710776,-1.6613977805989393,0.32% SiC powder/triglycidyl para-aminophenol
4.800764989365989,-1.640078645492392,0.32% SiC powder/triglycidyl para-aminophenol
18.588682041856416,659.2715762372793,0.32% SiC powder/triglycidyl para-aminophenol
1.6806034757639488,-3.2500876839678345,0.67% SiC powder/triglycidyl para-aminophenol
4.13945082710776,-3.3993122910799416,0.67% SiC powder/triglycidyl para-aminophenol
4.800764989365989,-3.5346879130617817,0.67% SiC powder/triglycidyl para-aminophenol
18.588682041856416,-3.935923589325028,0.67% SiC powder/triglycidyl para-aminophenol
