Synthesis Temperature (°C),Magnetoresistance
7.506060362165233,5.521336143717111,Nylon 11
8.122359655471689,13.328106398151174,Nylon 11
8.263303817342829,4.582753653080373,Nylon 11
9.718485620595176,17.63091828495675,Nylon 11
15.363229484405228,26.336502520858467,Nylon 11
18.09549481156849,83.55146678781824,Nylon 11
1.006740839120226,5.7146456524173965,PRX
3.707158386447069,5.250216002340901,PRX
5.225673968397095,5.223196342361533,PRX
11.839821315772838,5.014765340825179,PRX
12.741197389877726,5.0082191371181555,PRX
13.578157810273236,5.002968811168264,PRX
1.2742349191126046,-0.21994867893465453,Nylon 6-6
6.372646013731633,-0.8006433078465311,Nylon 6-6
6.888108943269384,-0.8379462820338959,Nylon 6-6
7.954911127168794,-0.8465541808673729,Nylon 6-6
12.506465412204253,-0.9235703038706703,Nylon 6-6
19.621920373110605,-0.9450879296212371,Nylon 6-6
