Evaporation Temperature (°C),Toughness (MJ/m³)
3.8507587716422975,-1.6619389087000693,0.7% Montmorillonite/PUR
4.403170839565256,-1.6803944994611775,0.7% Montmorillonite/PUR
9.398784479429821,2.0824980173838865,0.7% Montmorillonite/PUR
10.27830984180644,0.97213890601616,0.7% Montmorillonite/PUR
11.71218177870121,-1.0013731426539847,0.7% Montmorillonite/PUR
18.477911802506846,14.75000984644527,0.7% Montmorillonite/PUR
3.8507587716422975,6.654975763797857,0.27% Montmorillonite/PUR
4.403170839565256,9.49407027721573,0.27% Montmorillonite/PUR
9.398784479429821,25.66660026553841,0.27% Montmorillonite/PUR
10.27830984180644,27.610732692271192,0.27% Montmorillonite/PUR
11.71218177870121,78.35304930795857,0.27% Montmorillonite/PUR
18.477911802506846,434.7782804812556,0.27% Montmorillonite/PUR
