Crystallization Temperature (°C),Surface Area (m²/g)
8,8.257749673675805,PA 12
12,8.800150340783013,PA 12
13,13.423239201830043,PA 12
17,2.3247005752458563,PA 12
8,-1.6584135151722534,Polybutylene succinate
12,-1.7277722623523397,Polybutylene succinate
13,-1.730469931202661,Polybutylene succinate
17,-1.7448092567769942,Polybutylene succinate
8,13.074526037428008,Poly(benzoxazine)
12,29.788177331664016,Poly(benzoxazine)
13,28.057546730623148,Poly(benzoxazine)
17,207.02207717926143,Poly(benzoxazine)
8,5.107996438294617,DGEBF Epoxy Resin
12,5.039847957683134,DGEBF Epoxy Resin
13,5.02870560295161,DGEBF Epoxy Resin
17,5.016283008319116,DGEBF Epoxy Resin
