wt%,Poisson’s Ratio
1.123430115623043,-2.050319878196137,Poly(methyl acrylate)
14.904236611919305,117.49389303013024,Poly(methyl acrylate)
15.683392224015549,302.62816770552155,Poly(methyl acrylate)
1.123430115623043,-6.485809686594449,PEO
14.904236611919305,-7.34647792918888,PEO
15.683392224015549,-7.343692205662254,PEO
1.123430115623043,0.9404141837912372,PA 8
14.904236611919305,0.13245169477285848,PA 8
15.683392224015549,0.10215035626516847,PA 8
1.123430115623043,6.821041997132895,Poly(butyl acrylate)
14.904236611919305,5.944375673561922,Poly(butyl acrylate)
15.683392224015549,5.94278721156645,Poly(butyl acrylate)
