Drying Time (h),Crystallinity (%)
1.7212536187195604,3.8303171341516453,Poly(butylene)
2.209504904734052,3.911030591418657,Poly(butylene)
13.132703042280138,3.3430864192004073,Poly(butylene)
18.799533259818705,3.328751834000686,Poly(butylene)
1.7212536187195604,-0.0809727786314669,PA 12
2.209504904734052,0.20711822994182816,PA 12
13.132703042280138,-0.4914392472119306,PA 12
18.799533259818705,-0.604676841152503,PA 12
1.7212536187195604,-1.30941476333062,EVA
2.209504904734052,-0.9332773961318934,EVA
13.132703042280138,2.112705803717013,EVA
18.799533259818705,18.817441663789218,EVA
