Dispersing Time (min),Flexural Modulus (GPa)
5.943769458581858,-0.01702895270097815,PTrFE
9.536921195955399,-0.2116755250307789,PTrFE
13.639911740501372,-0.32951499920021515,PTrFE
19.649581811858255,-0.44629394584692444,PTrFE
5.943769458581858,4.256900670716526,iPP
9.536921195955399,27.410710286208385,iPP
13.639911740501372,100.34328301764204,iPP
19.649581811858255,878.450590860433,iPP
5.943769458581858,-3.9219849765034005,PEEK
9.536921195955399,-4.049830469960269,PEEK
13.639911740501372,-4.189231568074514,PEEK
19.649581811858255,-4.306417106253018,PEEK
5.943769458581858,-1.1793427012461053,Polybutadiene
9.536921195955399,-1.3334016772226553,Polybutadiene
13.639911740501372,-1.4784001853267537,Polybutadiene
19.649581811858255,-1.6046431453773249,Polybutadiene
5.943769458581858,-1.2614155373542797,PBA-a
9.536921195955399,8.49440289126841,PBA-a
13.639911740501372,38.288378050751845,PBA-a
19.649581811858255,-29.671834447918606,PBA-a
