Dielectric Loss,Complex Modulus (Pa)
2,-2.448008788770673,
3,-2.504186784699173,
7,-2.8001808689958745,
10,-2.8858622288258897,
12,-2.900283018007466,
16,-2.9224633740791512,
0.2176281176231587,2.8342811262052754,
1.9538265706791647,2.5233184619211513,
3.1874793997035122,3.0461891522787594,
5.644172487742837,3.577550138229595,
7.16462826116291,5.511295817148988,
11.765906811725998,4.004537221255301,
7.486280405164834,3.898016218801142,
12.034486975803206,3.7025844648899673,
12.28417715907749,3.7062166829687198,
13.86231323604047,3.6397272460503385,
13.909170694964043,3.648777846440341,
19.38960471273055,3.5385030653192504,
1,-0.8356596446958063,
6,-1.458381384062386,
12,-1.6083406268901002,
13,-1.6152411709087788,
15,-1.6256481479510048,
16,-1.6284007742524116,
2,3.3755457008932765,
3,2.9863493379468875,
5,7.740890767403159,
9,9.51446215743378,
17,250.0191803535212,
18,-7.783205143908143,
