Elongation At Break (%),Hysteresis Loss (J/m³)
8.510980442379786,22.332388145945206,0.79% BaTiO3/Epoxy novolac viny ester resin
8.803377975140695,4.359694849659816,0.79% BaTiO3/Epoxy novolac viny ester resin
14.30461346072105,82.53436072190257,0.79% BaTiO3/Epoxy novolac viny ester resin
15.388362027570953,-37.41281121189923,0.79% BaTiO3/Epoxy novolac viny ester resin
18.579727659103924,256.43656715605715,0.79% BaTiO3/Epoxy novolac viny ester resin
3,6.919560537897692,0.49% BaTiO3/Epoxy novolac viny ester resin
7,6.627924869700972,0.49% BaTiO3/Epoxy novolac viny ester resin
8,6.571454412652111,0.49% BaTiO3/Epoxy novolac viny ester resin
10,6.5293773033919305,0.49% BaTiO3/Epoxy novolac viny ester resin
17,6.484915544846718,0.49% BaTiO3/Epoxy novolac viny ester resin
0.6058588650893348,5.839063878602653,0.53% BaTiO3/Epoxy novolac viny ester resin
2.840669763377026,5.255194566055865,0.53% BaTiO3/Epoxy novolac viny ester resin
6.994116309934066,5.013710247618468,0.53% BaTiO3/Epoxy novolac viny ester resin
18.866511845965015,4.617144995152736,0.53% BaTiO3/Epoxy novolac viny ester resin
19.98087022985858,4.607547947332126,0.53% BaTiO3/Epoxy novolac viny ester resin
1,9.235374706871792,0.71% BaTiO3/Epoxy novolac viny ester resin
3,9.836922485120088,0.71% BaTiO3/Epoxy novolac viny ester resin
5,12.85340746093377,0.71% BaTiO3/Epoxy novolac viny ester resin
18,388.7894973067914,0.71% BaTiO3/Epoxy novolac viny ester resin
19,-296.4985457635942,0.71% BaTiO3/Epoxy novolac viny ester resin
6.421451578011743,-3.3961204515789696,0.12% BaTiO3/Epoxy novolac viny ester resin
9.740407617477702,-3.462831255828615,0.12% BaTiO3/Epoxy novolac viny ester resin
12.26279588429316,-3.499052390330574,0.12% BaTiO3/Epoxy novolac viny ester resin
15.998120119711539,-3.5141299806449076,0.12% BaTiO3/Epoxy novolac viny ester resin
16.29489387077187,-3.5150064138295236,0.12% BaTiO3/Epoxy novolac viny ester resin
