Elongation At Break (%),Hysteresis Loss (J/m³)
3.7980781917947315,6.249307459807773,0.9% cellulose nanocrystals
6.782210118407727,6.0774424535376355,0.9% cellulose nanocrystals
15.582528985261181,5.95437257181442,0.9% cellulose nanocrystals
17.436320408795133,5.949689824010963,0.9% cellulose nanocrystals
3.7980781917947315,1.7071687408945049,0.73% cellulose nanocrystals
6.782210118407727,2.812677437362245,0.73% cellulose nanocrystals
15.582528985261181,10.09765707083257,0.73% cellulose nanocrystals
17.436320408795133,12.597815328604627,0.73% cellulose nanocrystals
3.7980781917947315,-5.097004312883767,0.32% cellulose nanocrystals
6.782210118407727,-5.148613450112782,0.32% cellulose nanocrystals
15.582528985261181,4.809837824111483,0.32% cellulose nanocrystals
17.436320408795133,5.616221492167739,0.32% cellulose nanocrystals
3.7980781917947315,-4.196416422757637,0.12% cellulose nanocrystals
6.782210118407727,-4.291085247743439,0.12% cellulose nanocrystals
15.582528985261181,-4.645503329622765,0.12% cellulose nanocrystals
17.436320408795133,-4.668913791807853,0.12% cellulose nanocrystals
