Time (s),Flexural Strength (MPa)
0.6011297243062308,7.4166271651522875,0.94% multi-walled carbon nanotube/PBD
1.1649435110399198,7.747433261777511,0.94% multi-walled carbon nanotube/PBD
8.343226189700314,33.82658336602033,0.94% multi-walled carbon nanotube/PBD
10.242378656917865,4.4511861052890005,0.94% multi-walled carbon nanotube/PBD
12.78654186142833,10.177753016463999,0.94% multi-walled carbon nanotube/PBD
0.6011297243062308,-5.130990442395104,0.12% multi-walled carbon nanotube/PBD
1.1649435110399198,-5.131476861134935,0.12% multi-walled carbon nanotube/PBD
8.343226189700314,-5.813300446320333,0.12% multi-walled carbon nanotube/PBD
10.242378656917865,-5.879116753574551,0.12% multi-walled carbon nanotube/PBD
12.78654186142833,-5.940702799078095,0.12% multi-walled carbon nanotube/PBD
0.6011297243062308,3.4389294445939376,0.72% multi-walled carbon nanotube/PBD
1.1649435110399198,3.230338391352423,0.72% multi-walled carbon nanotube/PBD
8.343226189700314,2.894061361520465,0.72% multi-walled carbon nanotube/PBD
10.242378656917865,2.735209852906817,0.72% multi-walled carbon nanotube/PBD
12.78654186142833,2.710308951386204,0.72% multi-walled carbon nanotube/PBD
0.6011297243062308,7.738350914651747,0.48% multi-walled carbon nanotube/PBD
1.1649435110399198,7.407401959340067,0.48% multi-walled carbon nanotube/PBD
8.343226189700314,7.302263174408491,0.48% multi-walled carbon nanotube/PBD
10.242378656917865,7.111830939658097,0.48% multi-walled carbon nanotube/PBD
12.78654186142833,7.040887366738916,0.48% multi-walled carbon nanotube/PBD
