Hardness (HV),Melting Temperature (°C)
6,7.727475323879865,Reduced graphene oxide/TGDDM
7,16.014179811819716,Reduced graphene oxide/TGDDM
10,-3.078681789213734,Reduced graphene oxide/TGDDM
16,157.12237986529217,Reduced graphene oxide/TGDDM
19,331.6181600904133,Reduced graphene oxide/TGDDM
2.8041142302936817,3.8634428477321374,OMLS/TGDDM
3.1373055185340037,4.114796673138041,OMLS/TGDDM
7.287855388146167,13.484155628518279,OMLS/TGDDM
13.941877014924163,129.38198034360437,OMLS/TGDDM
17.13542217427588,-97.18816069507199,OMLS/TGDDM
