Neutron Flux (n/cm²/s),Specific Viscosity
5.978935254243865,4.6690442350213655,0.25% Aluminium dioxide
8.391785051482096,13.722974451387383,0.25% Aluminium dioxide
11.100564322194394,2.5303119607678184,0.25% Aluminium dioxide
5.978935254243865,-5.871987361380319,0.84% Aluminium dioxide
8.391785051482096,-5.92019716279114,0.84% Aluminium dioxide
11.100564322194394,-5.961213163562386,0.84% Aluminium dioxide
5.978935254243865,-2.2271135977871555,0.86% Aluminium dioxide
8.391785051482096,-2.3478413582145654,0.86% Aluminium dioxide
11.100564322194394,-2.498773745069236,0.86% Aluminium dioxide
5.978935254243865,5.638335425715906,0.54% Aluminium dioxide
8.391785051482096,5.557512602803699,0.54% Aluminium dioxide
11.100564322194394,5.521678032856312,0.54% Aluminium dioxide
