Pore Size (nm),Thermal Stability (°C)
6.223056593697846,0.7645913150819457,GO/PU
6.7859914288056045,1.6550717816745637,GO/PU
14.083698379117472,6.885521539255416,GO/PU
15.902201633415716,-2.4230751550729748,GO/PU
18.00778112472047,8.642760131062797,GO/PU
6.223056593697846,-6.3616132970742445,Acetylene black/PU
6.7859914288056045,-6.285621126115219,Acetylene black/PU
14.083698379117472,-6.705534817292095,Acetylene black/PU
15.902201633415716,-6.75413359736502,Acetylene black/PU
18.00778112472047,-6.779618923138724,Acetylene black/PU
6.223056593697846,-2.478631547026463,Graphene/PU
6.7859914288056045,-2.674424461503318,Graphene/PU
14.083698379117472,-2.9053342276348126,Graphene/PU
15.902201633415716,-2.9260494716101473,Graphene/PU
18.00778112472047,-2.964902944828248,Graphene/PU
