UV Exposure Time (h),Coercivity (A/m)
4.832502464262309,-2.3302842473852956,0.71% Bentonite
11.11844104385481,59.17768414355011,0.71% Bentonite
13.1243283968115,52.71578209914682,0.71% Bentonite
15.368898468258148,183.78120068483364,0.71% Bentonite
18.663917078616503,978.7640892495756,0.71% Bentonite
4.832502464262309,6.367112747070055,0.19% Bentonite
11.11844104385481,6.113703909260267,0.19% Bentonite
13.1243283968115,6.028297468215568,0.19% Bentonite
15.368898468258148,5.974675613900307,0.19% Bentonite
18.663917078616503,5.901817488445089,0.19% Bentonite
4.832502464262309,-0.2336855997920506,0.94% Bentonite
11.11844104385481,0.6191417456804182,0.94% Bentonite
13.1243283968115,1.2669446923567502,0.94% Bentonite
15.368898468258148,9.46056139220265,0.94% Bentonite
18.663917078616503,8.285126592516288,0.94% Bentonite
