Hardness (HV),Kinematic Viscosity (mm²/s)
3,-4.288963894582261,0.42% single-walled CNT/Poly(benzoxazine)
6,-3.845459344166651,0.42% single-walled CNT/Poly(benzoxazine)
7,-2.8880956084319935,0.42% single-walled CNT/Poly(benzoxazine)
8,-2.1013172397381963,0.42% single-walled CNT/Poly(benzoxazine)
10,-3.4815260712509017,0.42% single-walled CNT/Poly(benzoxazine)
18,-4.348130124525764,0.42% single-walled CNT/Poly(benzoxazine)
3,-4.010680967228323,0.62% single-walled CNT/Poly(benzoxazine)
6,-2.732892996995893,0.62% single-walled CNT/Poly(benzoxazine)
7,-3.2488693981720305,0.62% single-walled CNT/Poly(benzoxazine)
8,-2.698544351735158,0.62% single-walled CNT/Poly(benzoxazine)
10,-3.4700985215177704,0.62% single-walled CNT/Poly(benzoxazine)
18,1.65302551488596,0.62% single-walled CNT/Poly(benzoxazine)
3,-3.0879276774865234,0.02% single-walled CNT/Poly(benzoxazine)
6,-0.23852507407847146,0.02% single-walled CNT/Poly(benzoxazine)
7,3.041054021794192,0.02% single-walled CNT/Poly(benzoxazine)
8,9.713037218578517,0.02% single-walled CNT/Poly(benzoxazine)
10,10.079654301273274,0.02% single-walled CNT/Poly(benzoxazine)
18,-21.445475014956997,0.02% single-walled CNT/Poly(benzoxazine)
