Calcination Temperature (°C),Zeta Potential (mV)
1,8.461998428480783,
6,7.697235731576504,
9,7.599024345722362,
13,7.548436039133167,
14,7.542626746057284,
16,7.5353268581791735,
1,7.79101785916434,
6,7.2328860401515565,
9,7.128393420899706,
13,7.076432239189034,
14,7.071665528508688,
16,7.064498512425706,
1,3.29349400693335,
6,2.757863415853314,
9,2.6712725282601517,
13,2.5514411762628897,
14,2.5048780386048484,
16,2.458522031550788,
1,-3.951446028836552,
6,-4.628305480844731,
9,-4.732873916292698,
13,-4.7819746435551815,
14,-4.788549623057014,
16,-4.795665766988551,
1,-0.8160613954719547,
6,-0.9289770067113716,
9,-1.0757138298563398,
13,-1.2008915426744977,
14,-1.2512352420608552,
16,-1.2822133657401094,
