Particle Density,X-ray Diffraction Intensity
3.073121040498328,-2.8559754424074573,0.84% Titanium dioxide
8.240708335510245,-2.9051487709390806,0.84% Titanium dioxide
10.980565843422049,-3.0787288957266425,0.84% Titanium dioxide
12.982516031520511,-3.1087172738124864,0.84% Titanium dioxide
3.073121040498328,5.358728672432609,0.53% Titanium dioxide
8.240708335510245,5.137802185808252,0.53% Titanium dioxide
10.980565843422049,5.019245355000567,0.53% Titanium dioxide
12.982516031520511,4.947789916690619,0.53% Titanium dioxide
3.073121040498328,5.288820143910419,0.8% Titanium dioxide
8.240708335510245,4.957362623568879,0.8% Titanium dioxide
10.980565843422049,4.837742995916344,0.8% Titanium dioxide
12.982516031520511,4.798752873021698,0.8% Titanium dioxide
3.073121040498328,-3.1912696196372905,0.11% Titanium dioxide
8.240708335510245,-3.0302066129091654,0.11% Titanium dioxide
10.980565843422049,-4.533620475167599,0.11% Titanium dioxide
12.982516031520511,-2.3712667395991964,0.11% Titanium dioxide
