Volume Fraction,Electric Field Strength (V/m)
0,-1.7960715222571233,Poly(caprolactone)
3,0.7349503017120713,Poly(caprolactone)
7,2.5203295164892445,Poly(caprolactone)
11,30.00306675539666,Poly(caprolactone)
19,38.241452466891985,Poly(caprolactone)
0,-2.110241070422168,Poly(2-hydroxyethyl acrylate)
3,-2.4932082483857476,Poly(2-hydroxyethyl acrylate)
7,-2.817852318319641,Poly(2-hydroxyethyl acrylate)
11,-2.903995635197907,Poly(2-hydroxyethyl acrylate)
19,-2.9410502891448913,Poly(2-hydroxyethyl acrylate)
0,-3.781178653261904,PAMS
3,-2.4608805584770392,PAMS
7,3.3945973372757656,PAMS
11,34.3616479606782,PAMS
19,626.3028409028517,PAMS
