Thermal Conductivity (W/(m·K)),Thermal Conductivity (W/(m·K))
4,-6.6550580909042685,0.55% Zirconium dioxide/Nylon 66
6,-6.735238389128783,0.55% Zirconium dioxide/Nylon 66
10,-6.964516784386944,0.55% Zirconium dioxide/Nylon 66
16,-7.094486161817257,0.55% Zirconium dioxide/Nylon 66
19,-7.151791258178102,0.55% Zirconium dioxide/Nylon 66
4,-1.7680307726180104,0.38% Zirconium dioxide/Nylon 66
6,-1.7506074802732514,0.38% Zirconium dioxide/Nylon 66
10,-1.9915968126577464,0.38% Zirconium dioxide/Nylon 66
16,-2.1189834456179097,0.38% Zirconium dioxide/Nylon 66
19,-2.179294084710201,0.38% Zirconium dioxide/Nylon 66
4,-1.5105552949253034,0.65% Zirconium dioxide/Nylon 66
6,-1.6210377481823703,0.65% Zirconium dioxide/Nylon 66
10,-1.7423666695418902,0.65% Zirconium dioxide/Nylon 66
16,-1.783550584148362,0.65% Zirconium dioxide/Nylon 66
19,-1.7884229355625791,0.65% Zirconium dioxide/Nylon 66
4,5.706980186406981,0.83% Zirconium dioxide/Nylon 66
6,6.216524166160172,0.83% Zirconium dioxide/Nylon 66
10,4.7567028452537645,0.83% Zirconium dioxide/Nylon 66
16,28.803147467437178,0.83% Zirconium dioxide/Nylon 66
19,251.1039559770091,0.83% Zirconium dioxide/Nylon 66
