Melting Temperature (°C),Loss Factor
0.45978622308354256,6.336450161626263,0.33% BaTiO3/IMPP
6.628144570948098,7.376998534122381,0.33% BaTiO3/IMPP
8.854871268459226,8.433071194051251,0.33% BaTiO3/IMPP
15.020961017544485,10.277040990270821,0.33% BaTiO3/IMPP
19.864133686784776,8.62934091913389,0.33% BaTiO3/IMPP
0.45978622308354256,2.992085427388411,0.85% BaTiO3/IMPP
6.628144570948098,10.119276230351828,0.85% BaTiO3/IMPP
8.854871268459226,22.248517265212186,0.85% BaTiO3/IMPP
15.020961017544485,20.81271960142761,0.85% BaTiO3/IMPP
19.864133686784776,-377.6704335873413,0.85% BaTiO3/IMPP
