Heat Treatment Time (h),Hardness (HV)
1.962335297924207,-4.58754659197125,0.8% Zinc oxide
7.835982741934588,0.3533023540828131,0.8% Zinc oxide
10.195771088407286,16.360803374288047,0.8% Zinc oxide
1.962335297924207,-5.7987532749179875,0.11% Zinc oxide
7.835982741934588,-6.171960263683113,0.11% Zinc oxide
10.195771088407286,-6.212673139720316,0.11% Zinc oxide
1.962335297924207,-1.5991778571768966,0.69% Zinc oxide
7.835982741934588,9.243212765727973,0.69% Zinc oxide
10.195771088407286,14.6277509584215,0.69% Zinc oxide
1.962335297924207,1.1000968036579266,0.08% Zinc oxide
7.835982741934588,0.7398761448089539,0.08% Zinc oxide
10.195771088407286,2.5836358428319617,0.08% Zinc oxide
1.962335297924207,1.0266679587056138,0.76% Zinc oxide
7.835982741934588,0.5374982944089852,0.76% Zinc oxide
10.195771088407286,0.48428983023398814,0.76% Zinc oxide
