Light Intensity (W/m²),Magnetoresistance
0,8.797784861394348,
4,9.023043378353844,
8,10.191460364262007,
9,12.7113747227896,
18,7.174828152415929,
0.21257226537993112,-0.6371017799827994,
2.9929363124807895,-0.6702722894736434,
12.418826097636348,-1.0974640420794741,
15.745875214393712,-1.2045511474580473,
16.50334445707186,-1.199519985650199,
10.253893233724423,24.06944834000582,
11.585867367966543,52.013681282136986,
11.870693977946495,18.407717750404142,
15.659931379410994,20.214133320772614,
17.405945861513622,-24.577047121562405,
4,5.109866628455965,
12,4.786794182027775,
15,4.710620186025599,
16,4.691891942194209,
18,4.658742008868982,
