Ultrasound Time (min),Charge Transfer Resistance (Ω·m²)
4.315131228594769,-2.008747207379108,BECy
5.975953750657759,-1.3169029652595656,BECy
17.46246070580343,4.129231037798369,BECy
4.315131228594769,-3.842864991094821,PA 6(3)T
5.975953750657759,-2.6567649484162006,PA 6(3)T
17.46246070580343,-4.654104801435099,PA 6(3)T
4.315131228594769,0.48947123594064423,EPDM rubber
5.975953750657759,0.4509723313328833,EPDM rubber
17.46246070580343,0.07771314405515259,EPDM rubber
4.315131228594769,-3.7053191842650883,PBS
5.975953750657759,-3.770160535331616,PBS
17.46246070580343,-4.15806201251851,PBS
