Shear Rate (1/s),Pore Size (nm)
0,-6.528023022080079,
2,-5.966157445830001,
5,-1.2521727356637005,
8,3.5293227292984657,
9,-2.7483860033428194,
14,82.63807674833308,
0,4.284485874198218,
2,4.844735051802129,
5,5.732211945358871,
8,14.927291828110327,
9,26.07707351133771,
14,23.53333331982528,
0,0.6620920397807628,
2,1.2761616399860394,
5,3.954879789555293,
8,8.685489213379041,
9,13.541278429611689,
14,103.49289225304085,
0,-1.0219257321005855,
2,0.25283147930178984,
5,4.097798177907619,
8,10.784390256350946,
9,15.000031696322253,
14,30.807958497119635,
