Mixing Time (min),Corrosion Rate (mm/year)
11.167178870951087,-4.073578262334771,
11.402803172058992,-4.0729606439082415,
16.170301979702945,-4.099158027119484,
19.654462583831027,-4.1044794404542335,
11.167178870951087,-3.685837649297579,
11.402803172058992,-3.698902648865065,
16.170301979702945,-3.809056872683609,
19.654462583831027,-3.865308431609057,
11.167178870951087,5.319758419821696,
11.402803172058992,5.313806127307774,
16.170301979702945,5.2897408097863705,
19.654462583831027,5.284879371084152,
