Curing Temperature (°C),Zero-shear Viscosity (Pa·s)
6.151769195104137,7.986408953911646,
10.585415097972755,7.652946278652203,
11.807649301937786,7.6788721418790065,
14.234039012050593,7.5849398620349895,
15.553386344823341,7.5867836618009115,
3,-5.684469320248053,
12,-6.131579332481276,
13,-6.140503922121703,
16,-6.151741212974179,
17,-6.153798202665999,
0,0.20020952844937723,
1,0.5263552910893985,
7,10.640282071990956,
13,14.702202325948527,
17,12.60063579322371,
5,-7.110415153188992,
7,-7.198526656618179,
12,-7.297210684008176,
13,-7.308067639266351,
16,-7.316827308888109,
