X-ray Dose (Gy),Coercivity (A/m)
4,-5.637750037684092,
5,-5.745204231416891,
9,-5.88123767470576,
15,-5.930278961730566,
4.236872413515085,-1.7753015734582331,
7.417777220298001,-1.9880852754724159,
14.937248481290599,-2.086699013930342,
17.724713705133844,-2.092051150703516,
4,-4.5669809623237505,
8,-4.80329080183111,
13,-4.9717156392880115,
19,-5.093280698488074,
4.330877059994338,5.904090698026579,
13.644239659407644,5.634459754509971,
14.708612232721443,5.628206919889715,
15.30606409351053,5.626307827188773,
