Crosslinking Density (mol/m³),Heat Of Fusion (J/g)
2.251386295732012,-0.7727040185726894,0.26% MgO/TGPAP
5.7829644013126895,-1.0205057265306672,0.26% MgO/TGPAP
12.726992802057218,-1.1852451700308841,0.26% MgO/TGPAP
17.99885479855939,-1.200427044703353,0.26% MgO/TGPAP
19.4935377530473,-1.2018086237988836,0.26% MgO/TGPAP
1,4.048935849566487,0.69% MgO/TGPAP
3,5.311092648271011,0.69% MgO/TGPAP
8,18.495726899523813,0.69% MgO/TGPAP
11,40.71880757319833,0.69% MgO/TGPAP
15,36.64145261432708,0.69% MgO/TGPAP
