Electric Field (V/m),Tensile Modulus (GPa)
0,2.808480280394837,carbon nanofibers/XNBR
2,3.481553873976191,carbon nanofibers/XNBR
4,3.094334929734636,carbon nanofibers/XNBR
8,4.235441486486491,carbon nanofibers/XNBR
9,4.144024235867576,carbon nanofibers/XNBR
15,5.901293669443779,carbon nanofibers/XNBR
16,10.086351308479697,carbon nanofibers/XNBR
18,5.561180516542226,carbon nanofibers/XNBR
0,-2.5135471925783666,PVA/XNBR
2,-2.3666729120969268,PVA/XNBR
4,-2.6063291992159394,PVA/XNBR
8,-2.7901388667523785,PVA/XNBR
9,-2.884070721022456,PVA/XNBR
15,-3.0483543394641806,PVA/XNBR
16,-3.0721626691082107,PVA/XNBR
18,-3.1002618127986334,PVA/XNBR
0,-6.486874115415431,Thermal black/XNBR
2,-6.743658851649674,Thermal black/XNBR
4,-7.075238008730602,Thermal black/XNBR
8,-7.187831605656629,Thermal black/XNBR
9,-7.2178640331701684,Thermal black/XNBR
15,-7.370645471896177,Thermal black/XNBR
16,-7.394773209580532,Thermal black/XNBR
18,-7.430710468953975,Thermal black/XNBR
0,1.340874059607655,Graphene oxide/XNBR
2,0.7936516007909705,Graphene oxide/XNBR
4,0.45842799544385887,Graphene oxide/XNBR
8,0.28477530096246706,Graphene oxide/XNBR
9,0.26787256961600436,Graphene oxide/XNBR
15,0.21552712561000206,Graphene oxide/XNBR
16,0.21196846257415913,Graphene oxide/XNBR
18,0.2084360061119334,Graphene oxide/XNBR
