Loading Concentration (%),Peel Strength (N/m)
5.05047908904946,-0.5917007924723294,Graphite/Fluoroelastomer
7.127876406249789,-0.7945948397787843,Graphite/Fluoroelastomer
19.348587745809528,-1.1010026318544817,Graphite/Fluoroelastomer
5.05047908904946,6.313183085802226,cellulose nanowhiskers/Fluoroelastomer
7.127876406249789,6.32930536473705,cellulose nanowhiskers/Fluoroelastomer
19.348587745809528,6.043013994363917,cellulose nanowhiskers/Fluoroelastomer
5.05047908904946,-2.745558835169428,Barium titanate/Fluoroelastomer
7.127876406249789,-2.938331050882784,Barium titanate/Fluoroelastomer
19.348587745809528,-3.258186785678606,Barium titanate/Fluoroelastomer
5.05047908904946,-4.645311123849674,Graphite/Fluoroelastomer
7.127876406249789,-4.787869639031195,Graphite/Fluoroelastomer
19.348587745809528,-5.11108291364575,Graphite/Fluoroelastomer
5.05047908904946,6.98654416310995,Silver nitrate/Fluoroelastomer
7.127876406249789,6.265997740115591,Silver nitrate/Fluoroelastomer
19.348587745809528,29.80180086411613,Silver nitrate/Fluoroelastomer
