Solvent Concentration (M),Thermal Resistance (K/W)
0.8487314719126293,1.1456253603499533,0.45% silica
1.4508440708802839,1.3580555559193637,0.45% silica
6.18108364689733,0.8317512445211047,0.45% silica
7.850508755779573,0.7529294222039355,0.45% silica
15.24782615415507,0.5141670013209492,0.45% silica
0.8487314719126293,3.819743877048948,0.36% silica
1.4508440708802839,3.986141792869378,0.36% silica
6.18108364689733,5.024352351143084,0.36% silica
7.850508755779573,6.038862359001689,0.36% silica
15.24782615415507,10.475816925529422,0.36% silica
0.8487314719126293,-3.4493692152519757,0.05% silica
1.4508440708802839,-3.400489038863495,0.05% silica
6.18108364689733,-4.212735426277561,0.05% silica
7.850508755779573,-4.265799525729729,0.05% silica
15.24782615415507,-4.343293962409803,0.05% silica
0.8487314719126293,-4.5324287056103,0.41% silica
1.4508440708802839,-4.1580417179161095,0.41% silica
6.18108364689733,-4.557894585781972,0.41% silica
7.850508755779573,-4.710273749277694,0.41% silica
15.24782615415507,-4.906180449507887,0.41% silica
