Volume Fraction,Coercivity (A/m)
3,5.271309475674723,expanded graphite/Poly(butylene)
6,9.998958413135409,expanded graphite/Poly(butylene)
9,23.98698989816956,expanded graphite/Poly(butylene)
15,-61.55768850646696,expanded graphite/Poly(butylene)
19,158.27191890363864,expanded graphite/Poly(butylene)
1,-6.409594438683056,cellulose nanocrystal/Poly(butylene)
3,-6.494418434622252,cellulose nanocrystal/Poly(butylene)
13,-6.146148433227869,cellulose nanocrystal/Poly(butylene)
16,-5.72752617245204,cellulose nanocrystal/Poly(butylene)
19,-8.601254121369227,cellulose nanocrystal/Poly(butylene)
