Thickness (µm),Oxidation Potential (V)
0.027903424088793205,5.056695683685882,COC
3.7290720099464347,4.321460768604794,COC
5.733134205918691,4.265912575747736,COC
5.926925160429956,4.24542828593206,COC
9.175871668538173,4.130602813564265,COC
15.61582095138183,4.079872318182422,COC
0.027903424088793205,4.0062237902583675,Poly(ethylene)
3.7290720099464347,3.378630441186272,Poly(ethylene)
5.733134205918691,3.188422478219762,Poly(ethylene)
5.926925160429956,3.252617954793306,Poly(ethylene)
9.175871668538173,3.113044185880719,Poly(ethylene)
15.61582095138183,3.0492659788004035,Poly(ethylene)
0.027903424088793205,1.3093658086398983,PCTFE
3.7290720099464347,3.9371631142918386,PCTFE
5.733134205918691,3.191072146891176,PCTFE
5.926925160429956,3.528716475268783,PCTFE
9.175871668538173,34.742274803367124,PCTFE
15.61582095138183,217.71398878090727,PCTFE
0.027903424088793205,-5.975490553373161,Poly(vinyl alcohol)
3.7290720099464347,-6.1881874219149635,Poly(vinyl alcohol)
5.733134205918691,-5.993317801061778,Poly(vinyl alcohol)
5.926925160429956,-6.07978028890081,Poly(vinyl alcohol)
9.175871668538173,-5.1658686860182055,Poly(vinyl alcohol)
15.61582095138183,-6.999925961507272,Poly(vinyl alcohol)
