Nanoparticle Mass (%),Decomposition Temperature (°C)
0.5793361253808205,7.569866920085833,SAN24
1.1975421398539554,7.9145120406162555,SAN24
4.391667922167082,8.534562723201624,SAN24
16.589456404101877,17.069117549346668,SAN24
17.60586439951066,27.168480681501343,SAN24
0.5793361253808205,-6.468897828378978,SAN
1.1975421398539554,-6.378303030523165,SAN
4.391667922167082,-5.329468612768817,SAN
16.589456404101877,-0.09021846975773151,SAN
17.60586439951066,10.149083011326619,SAN
0.5793361253808205,2.7111142181104513,Nylon 6-6
1.1975421398539554,2.555270198033691,Nylon 6-6
4.391667922167082,2.6854780824831117,Nylon 6-6
16.589456404101877,2.2124343681037746,Nylon 6-6
17.60586439951066,2.177954686257328,Nylon 6-6
0.5793361253808205,8.561964715834998,EPDM rubber
1.1975421398539554,8.704573874952919,EPDM rubber
4.391667922167082,8.35291503650385,EPDM rubber
16.589456404101877,7.7778054193779935,EPDM rubber
17.60586439951066,7.761171839582745,EPDM rubber
