Thermal Diffusivity (mm²/s),Hysteresis Loss (J/m³)
1.1636249334737503,8.171008783177703,Copper phenylphosphate/Polyimide
5.744111318418643,10.38785558091395,Copper phenylphosphate/Polyimide
6.355021840633741,12.202411175261709,Copper phenylphosphate/Polyimide
9.704050936837028,34.13370247053703,Copper phenylphosphate/Polyimide
11.286055763597396,30.646776674944856,Copper phenylphosphate/Polyimide
16.724549919277308,145.2891157632871,Copper phenylphosphate/Polyimide
1.1636249334737503,7.996539150231675,single-walled CNT/Polyimide
5.744111318418643,7.738141179223688,single-walled CNT/Polyimide
6.355021840633741,7.740376764645741,single-walled CNT/Polyimide
9.704050936837028,7.584105119734951,single-walled CNT/Polyimide
11.286055763597396,7.559513267246013,single-walled CNT/Polyimide
16.724549919277308,7.3938462858345915,single-walled CNT/Polyimide
