Drying Temperature (°C),Corrosion Rate (mm/year)
1.233640868142516,-6.6535744833761115,0.78% Paraffinum liquidum
8.641351534323391,-7.395118108029461,0.78% Paraffinum liquidum
9.25011122715419,-7.406952265175532,0.78% Paraffinum liquidum
18.38725591383778,-7.466037766585064,0.78% Paraffinum liquidum
1.233640868142516,-5.408658813241296,0.59% Paraffinum liquidum
8.641351534323391,-5.926432987289812,0.59% Paraffinum liquidum
9.25011122715419,-5.949992627705325,0.59% Paraffinum liquidum
18.38725591383778,-6.1675795452212165,0.59% Paraffinum liquidum
1.233640868142516,-2.5150081307529133,0.1% Paraffinum liquidum
8.641351534323391,11.463874499143426,0.1% Paraffinum liquidum
9.25011122715419,3.8564730055360084,0.1% Paraffinum liquidum
18.38725591383778,436.38924413927253,0.1% Paraffinum liquidum
1.233640868142516,-4.330472087202665,0.18% Paraffinum liquidum
8.641351534323391,-4.867038107703355,0.18% Paraffinum liquidum
9.25011122715419,-4.881797802550047,0.18% Paraffinum liquidum
18.38725591383778,-4.934388773635181,0.18% Paraffinum liquidum
