Thickness (µm),Flexural Strength (MPa)
0.1661155628050448,-3.743409722292773,0.58% Alumina
4.014903250169681,-1.4731023963767211,0.58% Alumina
14.056693293458837,46.42132682708301,0.58% Alumina
4.8908309907781415,9.11367487177068,0.53% Alumina
14.878727041878644,69.05006971850172,0.53% Alumina
16.26474517908027,8.61248692389523,0.53% Alumina
0,-5.163737345204926,0.4% Alumina
5,-4.788765577654777,0.4% Alumina
15,-2.999687820847477,0.4% Alumina
8,23.703349867570374,0.7% Alumina
10,21.772723637119057,0.7% Alumina
14,52.174160149466076,0.7% Alumina
