Thermal Conductivity (W/(m·K)),Thermal Resistance (K/W)
5.4026187243321395,-1.5194860956117295,
10.295387517216053,-1.690789658557799,
11.865277905104287,-1.706510151338254,
17.42615139778307,-1.7308990260386978,
3,-1.8857464436729903,
4,-1.8178985718063916,
5,-2.0222785871422717,
17,-2.4437864854116556,
8.300134037327577,-1.9609025378426166,
10.356041742524143,-2.0295328048130465,
11.007804229222614,-2.066731375872725,
18.216692603161498,-2.227845214372216,
8,-4.251586455338882,
9,-4.387857846764154,
10,-4.421744810433774,
11,-4.385699953642042,
