Crosslinking Density (mol/m³),Polarization Resistance (Ω·m²)
0.18598796509202042,5.592399734890875,TiNTs/PEVA
5.172404940939428,5.045896385906927,TiNTs/PEVA
6.531783211220448,5.872977887834841,TiNTs/PEVA
9.364162265671666,9.659174884610595,TiNTs/PEVA
0.18598796509202042,5.332165729275191,cellulose nanocrystal/PEVA
5.172404940939428,4.742115880445707,cellulose nanocrystal/PEVA
6.531783211220448,4.631781886721994,cellulose nanocrystal/PEVA
9.364162265671666,4.472815816605275,cellulose nanocrystal/PEVA
0.18598796509202042,-5.420483280037084,Silver/PEVA
5.172404940939428,-6.36281197122889,Silver/PEVA
6.531783211220448,-6.420270582721036,Silver/PEVA
9.364162265671666,-6.537020880369961,Silver/PEVA
0.18598796509202042,-2.4158686578656994,C.I. Pigment Black 6/PEVA
5.172404940939428,-1.5620125106762406,C.I. Pigment Black 6/PEVA
6.531783211220448,-1.5758818405461226,C.I. Pigment Black 6/PEVA
9.364162265671666,0.9323739616474809,C.I. Pigment Black 6/PEVA
0.18598796509202042,-5.814421139832449,talc/PEVA
5.172404940939428,-6.762941778542896,talc/PEVA
6.531783211220448,-6.85645328399889,talc/PEVA
9.364162265671666,-6.986349388326262,talc/PEVA
