Tensile Strength (MPa),X-ray Diffraction Intensity
0.3165997039916979,0.5004627755725897,Paraffin oil/PA63T
3.3157198372223173,-0.04172565036175768,Paraffin oil/PA63T
4.082785228521741,0.6235239015300054,Paraffin oil/PA63T
8.135172731288753,0.754841395830208,Paraffin oil/PA63T
12.197115666273737,3.7234502151910016,Paraffin oil/PA63T
16.45850949142567,-10.212832883342395,Paraffin oil/PA63T
16.707179174592998,12.852770650832264,Paraffin oil/PA63T
0.3165997039916979,0.3028077524370736,zirconium dioxide/PA63T
3.3157198372223173,-0.1208837912593197,zirconium dioxide/PA63T
4.082785228521741,-0.18829095550397745,zirconium dioxide/PA63T
8.135172731288753,-0.1893825659378976,zirconium dioxide/PA63T
12.197115666273737,-0.42580809570465833,zirconium dioxide/PA63T
16.45850949142567,-0.5212827208152014,zirconium dioxide/PA63T
16.707179174592998,-0.5284561881657096,zirconium dioxide/PA63T
