Thickness (µm),Kinematic Viscosity (mm²/s)
3,-5.704926220584327,0.93% carbon black/Poly-trifluoroethylene
4,-5.781559689482239,0.93% carbon black/Poly-trifluoroethylene
7,-5.969700517306097,0.93% carbon black/Poly-trifluoroethylene
12,-6.172492422409839,0.93% carbon black/Poly-trifluoroethylene
16,-6.273357963619511,0.93% carbon black/Poly-trifluoroethylene
3,4.563755970691982,0.3% carbon black/Poly-trifluoroethylene
4,4.727300791192776,0.3% carbon black/Poly-trifluoroethylene
7,4.511156046859387,0.3% carbon black/Poly-trifluoroethylene
12,4.349839004568551,0.3% carbon black/Poly-trifluoroethylene
16,4.230732725867861,0.3% carbon black/Poly-trifluoroethylene
3,5.130157442153175,0.11% carbon black/Poly-trifluoroethylene
4,5.522294746221195,0.11% carbon black/Poly-trifluoroethylene
7,9.049045386074937,0.11% carbon black/Poly-trifluoroethylene
12,35.34735144262724,0.11% carbon black/Poly-trifluoroethylene
16,248.20465669739968,0.11% carbon black/Poly-trifluoroethylene
3,-1.6580329623003673,0.74% carbon black/Poly-trifluoroethylene
4,-1.8409590137920944,0.74% carbon black/Poly-trifluoroethylene
7,-2.029861002879546,0.74% carbon black/Poly-trifluoroethylene
12,-2.1074182632777023,0.74% carbon black/Poly-trifluoroethylene
16,-2.1282769272662385,0.74% carbon black/Poly-trifluoroethylene
