Magnetic Field Strength (T),Adhesion Strength (MPa)
1.1343322302454029,-3.8052383607526856,
6.290602045041962,-4.337232400282594,
19.718984952633324,-4.466199125298026,
1.1343322302454029,-2.878250725881366,
6.290602045041962,5.770010393266938,
19.718984952633324,566.4904523384846,
1.1343322302454029,-4.009273515970773,
6.290602045041962,-4.664106377997641,
19.718984952633324,-4.818977206389858,
1.1343322302454029,-3.3664051613097987,
6.290602045041962,-3.95690675696287,
19.718984952633324,-4.09134601656811,
