Aspect Ratio,Dielectric Breakdown Strength (MV/m)
0.33386360501792334,-0.5171641267346272, Graphite/Polychlorotrifluoroethylene
5.238251784842889,0.358114523378414, Graphite/Polychlorotrifluoroethylene
7.741069738326427,1.5474864398301422, Graphite/Polychlorotrifluoroethylene
12.937574630327845,1.3125192091422178, Graphite/Polychlorotrifluoroethylene
14.110158352052604,2.618642679241108, Graphite/Polychlorotrifluoroethylene
0.17373300127788704,-1.9590221265623353,graphene platelets/Polychlorotrifluoroethylene
0.9311760256371859,-1.7424856191203988,graphene platelets/Polychlorotrifluoroethylene
6.800798592747334,1.3975199693786973,graphene platelets/Polychlorotrifluoroethylene
19.78653957351382,738.8103007486922,graphene platelets/Polychlorotrifluoroethylene
19.848587527924288,1310.7056523098086,graphene platelets/Polychlorotrifluoroethylene
0.9762829650742111,-3.5273267925469884,AuNPs/Polychlorotrifluoroethylene
1.137212512291348,-3.363929118470887,AuNPs/Polychlorotrifluoroethylene
1.6927509429872356,-3.55529206816104,AuNPs/Polychlorotrifluoroethylene
10.321965949583603,-0.021231205133143582,AuNPs/Polychlorotrifluoroethylene
16.399827650961374,7.882921714313289,AuNPs/Polychlorotrifluoroethylene
