Heat Treatment Temperature (°C),Thermal Expansion (1/K)
3.6535639210027893,8.749977049101869,PHEA
5.820006737691463,8.566237259164275,PHEA
7.408629039150285,10.457673524957563,PHEA
18.283577827817176,2.7042801801188014,PHEA
3.6535639210027893,3.0296455373214695,Poly(vinyl alcohol)
5.820006737691463,6.265802201649276,Poly(vinyl alcohol)
7.408629039150285,8.464161085830227,Poly(vinyl alcohol)
18.283577827817176,231.72332231400256,Poly(vinyl alcohol)
3.6535639210027893,5.7404324340465545,Nylon 12
5.820006737691463,5.5729660812717485,Nylon 12
7.408629039150285,5.511527331881872,Nylon 12
18.283577827817176,5.4044505662906035,Nylon 12
3.6535639210027893,6.470970162044834,PETP
5.820006737691463,5.8485704631808035,PETP
7.408629039150285,6.574390716772523,PETP
18.283577827817176,-5.775484519526556,PETP
