Melting Temperature (°C),Flexural Strength (MPa)
3,5.850609574736397,graphene platelets/Poly(tetrafluoroethylene)
5,5.653588786749795,graphene platelets/Poly(tetrafluoroethylene)
6,5.634733347868303,graphene platelets/Poly(tetrafluoroethylene)
12,5.435731085786838,graphene platelets/Poly(tetrafluoroethylene)
3,6.402993279661423,Al2O3/Poly(tetrafluoroethylene)
5,5.6362039268394035,Al2O3/Poly(tetrafluoroethylene)
6,7.969008234659592,Al2O3/Poly(tetrafluoroethylene)
12,7.100246282841314,Al2O3/Poly(tetrafluoroethylene)
3,5.79115608742124,SiC powder/Poly(tetrafluoroethylene)
5,5.585407926287543,SiC powder/Poly(tetrafluoroethylene)
6,5.716089318592355,SiC powder/Poly(tetrafluoroethylene)
12,5.368301780076738,SiC powder/Poly(tetrafluoroethylene)
3,8.47410556488977,Montmorillonite/Poly(tetrafluoroethylene)
5,8.940041857161868,Montmorillonite/Poly(tetrafluoroethylene)
6,9.417320405369992,Montmorillonite/Poly(tetrafluoroethylene)
12,12.284102160734705,Montmorillonite/Poly(tetrafluoroethylene)
