Mechanical Strength (MPa),Young’s Modulus (GPa)
2,6.381875871050563,BECy
3,6.444929603695608,BECy
8,6.067886898008859,BECy
10,6.0264943701341185,BECy
17,5.981139892175491,BECy
2,-5.334767364188043,Poly(caprolactone)
3,-5.4868260764965555,Poly(caprolactone)
8,-5.54367622878839,Poly(caprolactone)
10,-5.689815660716488,Poly(caprolactone)
17,-5.868843066621211,Poly(caprolactone)
2,7.584742947460727,Poly(hexafluoro propylene)
3,7.308418697427698,Poly(hexafluoro propylene)
8,8.741500009484685,Poly(hexafluoro propylene)
10,7.886527690061863,Poly(hexafluoro propylene)
17,17.57880663302894,Poly(hexafluoro propylene)
2,-2.3455008615673427,Poly(BA-a)
3,-2.5133122414990465,Poly(BA-a)
8,-0.7531881306468451,Poly(BA-a)
10,-0.8103203449935616,Poly(BA-a)
17,-2.479624452779329,Poly(BA-a)
2,8.224019779076373,Poly(acrylic acid)
3,7.704445552438678,Poly(acrylic acid)
8,7.6712955573590085,Poly(acrylic acid)
10,7.686716556881459,Poly(acrylic acid)
17,7.435572501662971,Poly(acrylic acid)
