Reaction Time (h),Polarization Resistance (Ω·m²)
1,1.316650213639834,0.68% Furnace black/XNBR
5,2.0126040625869024,0.68% Furnace black/XNBR
7,13.39534180015511,0.68% Furnace black/XNBR
11,11.915201542912042,0.68% Furnace black/XNBR
17,-57.95983907477101,0.68% Furnace black/XNBR
1,3.509665033614896,0.81% Furnace black/XNBR
5,3.244135790400338,0.81% Furnace black/XNBR
7,3.295761147294284,0.81% Furnace black/XNBR
11,3.036208173253003,0.81% Furnace black/XNBR
17,2.874224312590488,0.81% Furnace black/XNBR
1,-5.595139477959277,0.38% Furnace black/XNBR
5,-5.632686717385431,0.38% Furnace black/XNBR
7,-4.654673030754598,0.38% Furnace black/XNBR
11,-4.418853252754351,0.38% Furnace black/XNBR
17,7.053520898287815,0.38% Furnace black/XNBR
1,-4.1957948345363745,0.94% Furnace black/XNBR
5,-4.482870635949373,0.94% Furnace black/XNBR
7,-4.646657282504618,0.94% Furnace black/XNBR
11,-4.846138558325785,0.94% Furnace black/XNBR
17,-4.973412255830309,0.94% Furnace black/XNBR
