Drying Time (h),Bond Strength (MPa)
3,3.8806388611357208,0.27% Bentonite
7,4.380529215948327,0.27% Bentonite
8,4.844686814240335,0.27% Bentonite
12,7.29534312000081,0.27% Bentonite
3,4.4743954045627925,0.72% Bentonite
7,4.176475653136316,0.72% Bentonite
8,4.12327926548212,0.72% Bentonite
12,4.069428727751015,0.72% Bentonite
3,8.183962341381157,0.58% Bentonite
7,11.785433932266681,0.58% Bentonite
8,19.399535722284398,0.58% Bentonite
12,36.04171638857864,0.58% Bentonite
3,-5.838855175151428,0.43% Bentonite
7,-6.129761605622076,0.43% Bentonite
8,-6.137541910876872,0.43% Bentonite
12,-6.210559898458135,0.43% Bentonite
