Filler Content (%),Crystallization Temperature (°C)
0,-3.192272636911749,
4,-3.7988656858071983,
14,-4.181823574053033,
15,-4.226808199347812,
16,-4.260055410859308,
0,-2.6645407096606633,
4,-2.995499660445075,
14,-3.46712200618445,
15,-3.4715030523915997,
16,-3.4950643112767388,
0,7.830766276253122,
4,9.050384049176085,
14,10.997598468016527,
15,8.230296761811795,
16,8.806371556849378,
0,-2.6141101352331693,
4,-2.6042318038065115,
14,5.707421455942825,
15,-0.48769475348703484,
16,2.5147018484641146,
0,-0.03934660774940102,
4,-0.6843002959803351,
14,-0.9682770343469119,
15,-0.9714413430386932,
16,-0.9753252132369865,
