Thickness (µm),Dynamic Viscosity (Pa·s)
9.715093732256282,-2.8270197780141095,PCL
12.672537065495622,-2.861746721424621,PCL
15.492533279226455,-2.8718756996068837,PCL
19.176964740921125,-2.878413330353673,PCL
1.3062146793813456,6.397055297463152,Polystyrene
12.97026385889573,17.828224639983162,Polystyrene
13.020832619504697,94.67232569722097,Polystyrene
15.564495072457694,162.18095416859416,Polystyrene
0.11669590337442193,5.113608498252198,PBT
9.554912581561565,13.62473711880914,PBT
11.555908440803746,11.911686148710313,PBT
13.316255903859824,57.166286301657834,PBT
4,-6.001020050242225,Poly(acrylic acid)
5,-5.223846062017923,Poly(acrylic acid)
9,-4.84397932131093,Poly(acrylic acid)
19,1.2063171247353761,Poly(acrylic acid)
5.738917019118743,1.521015418293711,COC
10.216945606653983,1.435552657198818,COC
12.681483093174965,1.4088228336174389,COC
14.204598243150015,1.4005561353038951,COC
