Reaction Time (h),Particle Size Distribution
2.2760372884275704,-5.519018637346003,IMPP
4.854962660696465,-4.008046503114862,IMPP
5.091422005779151,-5.994329534708795,IMPP
9.57354337876984,24.182263154768876,IMPP
11.733628870428168,14.284884852076033,IMPP
2.2760372884275704,6.299830325680204,Poly(acrylamide)
4.854962660696465,6.011263803413185,Poly(acrylamide)
5.091422005779151,5.982979725147589,Poly(acrylamide)
9.57354337876984,5.870740243077323,Poly(acrylamide)
11.733628870428168,5.725087374419502,Poly(acrylamide)
2.2760372884275704,-1.0516144339307254,PCL
4.854962660696465,-1.1572261458834137,PCL
5.091422005779151,-1.2525044828060254,PCL
9.57354337876984,-1.3579497922007202,PCL
11.733628870428168,-1.3854435919758517,PCL
2.2760372884275704,-7.059316860122008,Cyclic olefin copolymer
4.854962660696465,-7.307261140940534,Cyclic olefin copolymer
5.091422005779151,-7.385373938926918,Cyclic olefin copolymer
9.57354337876984,-7.501078631735527,Cyclic olefin copolymer
11.733628870428168,-7.5386049927313765,Cyclic olefin copolymer
2.2760372884275704,-3.6711865958592385,PS
4.854962660696465,-4.569072502943041,PS
5.091422005779151,-3.856869251740693,PS
9.57354337876984,-0.6978363352665609,PS
11.733628870428168,-6.099091666463314,PS
